id,subject,body,true_label
1,[UAI] CFP: CLIMA 06,"================= Second Call for Papers ==================
                        CLIMA VII              Seventh International 
Workshop on         Computational Logic in Multi-Agent Systems
                      May 8,9 2006       in association with AAMAS2006 
(May 8 - 12, 2006)            Future University, Hakodate, Japan 
             http://www.fun.ac.jp/aamas2006/
           http://research.nii.ac.jp/climaVII/
===========================================================

Aims and scope
--------------

Multi-Agent Systems are communities of problem-solving entities that can 
perceive and act upon their environment to achieve their individual 
goals as well as joint goals.  The work on such systems integrates many 
technologies and concepts in artificial intelligence and other areas of 
computing as well as other disciplines.  Over recent years, the agent 
paradigm gained popularity, due to its applicability to a full spectrum 
of domains, from search engines to educational aids to electronic 
commerce and trade, e-procurement, recommendation systems, simulation 
and routing, to cite only some. 
Computational logic provides a well-defined, general, and rigorous 
framework for studying syntax, semantics and procedures for various 
tasks by individual agents, as well as interaction amongst agents in 
multi-agent systems, for implementations, environments, tools, and 
standards, and for linking together specification and verification of 
properties of individual agents and multi-agent systems. 
The purpose of this workshop is to discuss techniques, based on 
computational logic, for representing, programming and reasoning about 
agents and multi-agent systems in a formal way.  We solicit unpublished 
papers on agents and multi-agent systems based upon or relating to 
computational logic.  You can find further information regarding the 
previous edition of CLIMA in http://clima.deis.unibo.it/ and the history 
of CLIMA in http://research.nii.ac.jp/climaVII/about.html.  

Topics
------

Relevant topics include, but are not limited to, the following:
* logical foundations of (multi-)agent systems * extensions of logic 
programming for (multi-)agent systems * modal logic approaches to 
(multi-)agent systems * logic-based programming languages for 
(multi-)agent systems * non-monotonic reasoning in (multi-)agent systems 
* decision theory for (multi-)agent systems * agent and multi-agent 
hypothetical reasoning and learning * theory and practice of 
argumentation for agent reasoning and interaction * knowledge and belief 
representation and updates in (multi-)agent systems * operational 
semantics and execution agent models * model checking algorithms, tools, 
and applications for (multi-)agent logics * semantics of interaction and 
agent communication languages * distributed constraint satisfaction in 
multi-agent systems * temporal reasoning for (multi-)agent systems * 
distributed theorem proving for multi-agent systems * logic-based 
implementations of (multi-)agent systems * specification and 
verification of formal properties of (multi-)agent systems

Submissions
-----------

We welcome and encourage the submission of high quality, original 
papers, which are not simultaneously submitted for publication elsewhere. 
Papers should be written in English, formatted according to the Springer 
Verlag LNCS style, which can be obtained from 
http://www.springeronline.com, and not exceed 16 pages including 
figures, references, etc. 
Each paper should include *some examples* illustrating the proposed 
techniques. 
Paper submission is electronic via the online submission system: 
http://www.easychair.org/CLIMAVII/submit/ Authors who have difficulties 
with the electronic submission should contact the workshop chairs. 

Proceedings and post-workshop publications
------------------------------------------

A printed volume of the proceedings will be available at the workshop. 
Authors of papers presented at the workshop will be asked to extend 
their contributions, possibly incorporating the results of the workshop 
discussion, to be included in the workshop post-proceedings, after 
another round of refereeing.  Springer Verlag has accepted in principle 
to publish the post-proceedings as a volume of the Lecture Notes in 
Artificial Intelligence series. 

CLIMA contest
-------------

CLIMA VII will also host the second CLIMA contest, organized by Mehdi 
Dastani, Jurgen Dix, and Peter Novak: 
http://cig.in.tu-clausthal.de/index.php?id=clima7contest


Financial Support for Students
------------------------------

We have some budget for partial economical support for traveling costs 
for promising students whose papers have been accepted to be presented 
at CLIMA VII. Please contact Ken Satoh (ksatoh at nii.ac.jp) for details. 

Important Dates
---------------

- Submission Deadline: January 15, 2006 - Notification: February 19, 
2006 - Camera Ready Copy Due: March 10, 2006 - CLIMA VII: May 8 and 9, 2006

Workshop Chairs
---------------

Katsumi Inoue, National Institute of Informatics, Japan Ken Satoh, 
National Institute of Informatics, Japan Francesca Toni, Imperial 
College London, UK
Email: pdtzk-gip@nii.ac.jp


Programme Committee
-------------------

Jose Julio Alferes, New University of Lisbon, Portugal Rafael H. 
Bordini, University of Durham, UK Gerhard Brewka, University of Leipzig, 
Germany Stefania Costantini, University of L'Aquila, Italy Juergen Dix, 
Technical University of Clausthal, Germany Patrick Doherty, Linkoping 
University, Sweden Phan Ming Dung, AIT, Thailand Thomas Eiter, Vienna 
University of Technology, Austria Klaus Fischer, DFKI, Germany Michael 
Fisher, The University of Liverpool, UK Michael Gelfond, Texas Technical 
University, USA James Harland, RMIT, Australia Hisashi Hayashi, Toshiba, 
Japan Wiebe van der Hoek, The University of Liverpool, UK Antonis Kakas, 
University of Cyprus, Cyprus Joao Leite, New University of Lisbon, 
Portugal Fangzhen Lin, Hong Kong University of Science and Technology, 
Hong Kong Paola Mello, University of Bologna, Italy John Jules Ch. 
Meyer, Utrecht University, The Netherlands Leora Morgenstern, IBM T.J. 
Watson Research Center, USA Naoyuki Nide, Nara Women's University, Japan 
Maurice Pagnucco, University of New South Wales, Australia Wojciech 
Penczek, Polish Academy of Sciences, Poland Enrico Pontelli, New Mexico 
State University, USA Fariba Sadri, Imperial College London, UK Chiaki 
Sakama, Wakayama University, Japan Abdul Sattar, Griffith University, 
Australia Hajime Sawamura, Niigata University, Japan Renate Schmidt, 
University of Manchester, UK Tran Cao Son, New Mexico State University, 
USA Kostas Stathis, City University London, UK Michael Thielscher, 
Dresden University of Technology, Germany Satoshi Tojo, Japan Advanced 
Institute of Science and Technology, Japan Paolo Torroni, University of 
Bologna, Italy Marina de Vos, University of Bath, UK Cees Witteveen, 
Delft University of Technology, The Netherlands

Home page of CLIMA VII:  http://research.nii.ac.jp/climaVII

------------------------------------------------------------------------
This e-mail was delivered to you by nzvoq@in.tu-clausthal.de, what is a
moderated list ran by Computational Intelligence Group of Clausthal University of Technology, Germany. 
All event announcements sent through this list are also listed in our
conference planner at http://cig.in.tu-clausthal.de/index.php?id=planner.
 
In the case of any requests, questions, or comments, do not hesitate and 
contact vekzb-ryuqc@in.tu-clausthal.de ASAP. 
 
******************************************************
* CIG does not take any responsibility for validity  * 
* of content of messages sent through this list.     * 
******************************************************

Computational Intelligence Group
Department of Computer Science
Clausthal University of Technology
Germany
http://cig.in.tu-clausthal.de/",legitimate
2,Changing email address for these,"Apologies if this hasn't been done in the right way, but I have gone to
the website and couldn't find out how to do it - how do you change the
email address that these get sent to please ?  I will be changing email
addresses and want to ensure I don't miss any posts.

Any help appreciated.

Chris.",legitimate
3,Was child beating mom an enraged con artist?,"URL: http://boingboing.net/#85483138
Date: Not supplied

Article about a scam expert who belives the mom who beat her child is a grifter 
belonging to the Irish Travelers. The reason she beat up her little girl, he 
thinks, is becasue she was pissed that the kid blew her con at a toy store. 

    Wright believes the beating happened for one of two reasons. ""The little 
    girl gave away the scam to an employee or the mom was so ticked off at not 
    getting refunds she took it out on the little girl."" 

I don't know anything about the Irish Travelers, but I'm wondering if they are 
getting a bad rap about being con-artists. This Irish Traveler FAQ[1] says 
""some Travellers are con men, but, just like other Americans, most are not."" 
Link[2] Discuss[3]

[1] http://www.pitt.edu/~alkst3/USA.html
[2] http://www.wndu.com/news/contact16/contact16_2450.php
[3] http://www.quicktopic.com/16/H/umA3qpRqVJkRm",legitimate
4,CNN Alerts: My Custom Alert,"CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Craziest taxi driver

Fri, 8 Aug 2008 03:42:51 -0400

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
Â© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms.",fraudulent
5,"fw : 2 minutes to read what i have to say . . . p . s . charset = windows - 1252 "" > i know you want to look at pussy , but first you need to learnthe truth about the adult industry : get into paysite free ! if you take 2 minutes to read what i have to say you will have full accessto some of the largest membership sites for free . trutha recent internet survey showed that almost 28 % of all the revenue generated on the internet today is from adult products websites . making it the # 1 product / service in demand on the internet . truthyahoo conducted a adult internet survey that showed more than more than half of all adult surfers have paid up to $ 50 for a pay site membership . we wonder why ? it is really easy to ge","t into these sites for free . why would you pay for a membership to an adult site with out knowing what they really have to offer ? it ' s kind of like going on a blind date , you don ' t really know what to expect ! i have top a adult sites you can become a member to for free . truththese directions are common sense , but some people still haven ' t figured it out ! i have found a pay site offering free passes . so if you get a free pass imagine all the movies you can download onto your hard drive . all % 100 free . these sites all have more movies , chat rooms , and hot pictures than any other porn sites i have come across to date . they are all a + porno sites . all % 100 free . directionsfollow these 6 simple steps and you ' ll get a free pass into an adult paysite . note that these passes are not permanent , but they ' re free and it takes less than two minutes to get in . step 1 : scroll down the page click on the web site banner below that interests you most . the descriptions and the links are below . pick the one you want to get your lst free pass to . step 2 : once you arrive at the site you have selected , fill out the form , then click the submit button that says give my free pass . remember to wait several seconds for the entire page to load . if you are on a dial up modem it will take a minute to process the page . step 3 : this will take you to the second join page . fill in the required information . this is not some second rate site run by couple scumbags , these are multi - million dollar operations with policies and rules . they won ' t charge you for the free pass . don ' t believe me ? read their terms and conditions . step 4 : after you have filled out the rest of the form . . . . . . . . click the submit button ! only hit it one time ! wait one or two minutes , it will send the username and password to your e - mail account . that ' s it , within minutes you will have a free passstep 5 : that ' s i
t ! that ' s all there is to it . like i said before read the terms and conditions for yourself so you feel comfortable with it . this method of getting a free pass is best described as cutting out the middle man . click or copy past this free pass link : http : / / www . luckyamateurwives . com",fraudulent
6,Upgrade Your Mail Quota !!,Mail Quota: (98% Full) Attention: jose Your email quota has reached 98% and will soon exceed its limit.Â Follow the URL below to upgrade your quota toÂ 25GBÂ for free to avoid loss of email data.Â  Upgrade Email QuotaÂ Source:Administrator,fraudulent
7,From Sheree Kern,"P ifi harm udv acy

Vis jhl it Your Local Target P pdh h gi arm bgb acy
for Ge ccv ner sg ic Dr uld ug jpk s, Re onf fills, & More.

http://ingenuityseat.com",fraudulent
8,[perl #47241] Re: Core dump caused by goto,"# New Ticket Created by  ""Jerry D. Hedden"" 
# Please include the string:  [perl #47241]
# in the subject line of all future correspondence about this issue. 
# 


Jerry D. Hedden wrote:
> I use the above mechanism in my module Object::InsideOut.
> Having recently added tests similar to the above, its test
> suite produces the following eroneous warnings:
>
>     Use of uninitialized value within @cc in goto at t/15-type.t line 121.

The following (attached) evokes the above:

    #!/usr/bin/perl

    use strict;
    use warnings;

    {
        no warnings 'redefine';

        my @foo = ();

        my $isa = \\&UNIVERSAL::isa;

        *UNIVERSAL::isa = sub
        {
            goto $isa;
        };
    }

    UNIVERSAL::isa({}, undef);

Under 5.10.0, it produces:

    Use of uninitialized value @foo in goto at goto_bug3.pl line 19.

Under 5.8.8, it produces:

    Use of uninitialized value in goto at goto_bug3.pl line 15.",legitimate
9,Awesome presents to give,Searching for true high-quality rep1!c@ craftsmanship? We know what you need! http://mildplay.com/,fraudulent
10,claims,"dear sir ,
do accept my sincere apologies if my mail does not meet your personal
ethics . i will introduce myself as a staff in the accounts management section
of a well - known bank here in republic of benin .
one of our accounts with holding balance of 20 , 500 , 000 ( twenty million
five hundred thousand united states dollars ) has been dormant and has
not been operated for the past 9 months .
from my investigations and confirmations , the owner of this account a
foreigner by name mr ali yacoubou died who unfortunately died in the plane crash
of union transport africaines flight boeing 727 in cotonou , benin
republic , in december 25 , 2003 . you will read more about the crash by visiting
these websites :
www . cnn . com / 2003 / world / africa / 12 / 26 / benin . crash / or
and since then nobody has done anything as regards the claiming of this
money because he has no family members who are aware of the existence
of neither the account nor the funds . also information from the national
immigration states that he was also single on entry into republic du benin .
i have secretly discussed this matter with some of the bank officials
and we have agreed to find a reliable foreign partner to deal with . we thus
propose to do business with you , standing in as the next of kin of
these funds from the deceased and funds released to you after due processes
have been followed .
this transaction is totally free of risk and troubles as the fund is a
legitimate and does not originate from drug , money laundry , terrorism or any
other illegal act . on your interest , let me hear from you .
regards ,
dr . migan .
disclaimer :
this message contains confidential information and is intended only for
specified addressee . if you are not the named addressee you should not
disseminate , distribute or copy this e - mail . the sender therefore does not accept
liability for any errors or omissions in the contents of this message , which
arise as a result of e - mail transmission . please note that we reserve the right
to monitor and read any emails sent and received under the
telecommunications ( lawful business practice ) ( interception of communications )
regulations
2000",fraudulent
