id,subject,body,true_label
1,Re: [Python-3000] binascii.crc32 vs zlib.crc32,"Hm.  zlib is an odd place to find this API (unless you know way more
about gzip than healthy :-).  Though binascii isn't much better.  I'd
rather expect this in the vicinity of md5 and sha... Is it possible to
tweak that C code to use the zlib version if present and the old C
code otherwise?

On Tue, Mar 18, 2008 at 3:21 PM, Gregory P. Smith  wrote:
 Both modules have a crc32 function.  The zlib version is faster when zlib
 has been compiled optimally or about the same when zlib is old or uses its C
 code.

 Should we ditch the binascii.crc32 version in py3k?

  64bit Linux (CentOS 5.1):

 $ python2.4 -m timeit",legitimate
2,"Wekalist Digest, Vol 60, Issue 35","Send Wekalist mailing list submissions to 	iuxxdkqk@list.scms.waikato.ac.nz To subscribe or unsubscribe via the World Wide Web, visit 	https://list.scms.waikato.ac.nz/mailman/listinfo/wekalist or, via email, send a message with subject or body 'help' to 	ohwwlejs-pbfotbp@list.scms.waikato.ac.nz You can reach the person managing the list at 	pobypuhs-hvhzj@list.scms.waikato.ac.nz When replying, please edit your Subject line so it is more specific than ""Re: Contents of Wekalist digest..."" Today's Topics:    1. Re: Preserving order in split leads to Inferior results	-       Why?",legitimate
3,Re: [opensuse] Intel 3945 Wireless Problem opensuse 10.3 - RESOLVED!,"James Knott wrote:
... In order to get WPA2 in XP,
 I have to download an update from MS, but getting that update requires
 installing ""Windows Genuine Advantage"" spyware.  

What are you afraid of?",legitimate
4,The aim of this  message is to help you to achieve better health.,"P kp har mis ma vp cy On ny line

Over 2 Million Pre zg script daj ions Fil zb led
Lowest Pri am ce Guaran kjw tee. Bu um y On xj line! 

http://continuemine.com",fraudulent
5,"Dude, it really works!","Our product will help you regain control about your masculinity!
Start positive changes in your life!
http://dearcan.com/


Parti Qubcois leader slams radio host on homophobiaRahai, the Guardian reports.shorthanded goal came 76 seconds into the final period,",fraudulent
6,123,"I got something to tell you! Fist-rate experience in bed! Guaranteed results, can cause no harm. Forget about drugstore! you  now don’t have to pay extra fee because of  expenses drugstores simply have to undertake. When buying Viagra from our on-line pharmacy you accruecomfort and harmony for for fantastic price!get up to 12 Viagra pills for free!!! with every order!!!Ciwerlis - $1.99
Acomplicia - $0.79
Ciwerlis professional - $4.17http://surfacegenerosity.com",fraudulent
7,CNN.com Daily Top 10,"THE DAILY TOP 10 from CNN.com Top videos and stories as of: Aug  1, 2008  3:58 PM EDT  TOP 10 VIDEOS 1. PARIS HILTON TAKES ON MCCAIN http://www.cnn.com/video/partners/email/index.html?url/video/politics/2008/08/06/wynter.paris.hilton.ad.cnn Paris Hilton swings back at Republican presidential candidate John McCain. Kareen Wynter reports. 2. BIKINI BARISTA STAND CLOSED http://www.cnn.com/video/partners/email/index.html?url/video/living/2008/08/06/pkg.bikini.baristas.barred.kiro 3. TOT GRANDMA REACTS TO CHARGES http://www.cnn.com/video/partners/email/index.html?url/video/crime/2008/08/06",fraudulent
8,[soaplite] Digest Number 1746,"SOAP::Lite for Perl (soaplite.com)       SOAP::Lite for Perl (soaplite.com)     Messages In This Digest      (1                Message)            1.   hibye demo - not well-formed (invalid token)  error   From:        jwalsh999   View All Topics | Create New Topic            Message        1.            hibye demo - not well-formed (invalid token)  error       Posted by:      ""jwalsh999""             fmgiqn691@yahoo.com                                          jwalsh999                 Fri Feb 8, 2008 11:18 pm        (PST)                 Brand new SOAP::Lite user here. I am trying to get the hibye demo working locally on my laptop running Ubuntu Ultimate 7.10. The hibye.pl script works when connecting to www.soaplite.com but fails when I attempt to connect to",legitimate
9,Your profile has been looked trough More than 50 tomes since today`s morning!,"*{font-family:verdana,sans,arial,tahoma;font-size:11pt;}Good morning!A nice girl wants to get acquainted with youRita R., San Francisco",fraudulent
10,Spicy your bedroom life. T,"Find your love stick gain here
        CLICK HERE URl!!!!
        oZ8z062Jp",fraudulent
11,Satisfy your woman?s craving easily,"You won't have to apologize for her staying dissatisfied anymore!
Gain the dimension you have long wished for!
http://dearbright.com/


which is Polo Ralph Lauren Watch and Jewelry Company,40m wide at the bottom a week ago.Service) soldiers who will protect him.",fraudulent
12,50 ways to meet your lover_Suppeko,"-------------------------------------------------
greeneyedblo...
27 years 0ld
I  l0oking for Man,  30 - 49
Lake Wales, Florida USA
0nline t0day! 
Become a member to see more results.
http://ekojonyjynie.narod.ru

























Delite your email :
orateorix[@]gmail[dot]com






he was horrible. The cardboard lady97",fraudulent
